POSITION,GENDER,TOTAL,PERCENTUAL
01,M,87500,78,58
02,M,78929,79,86
03,M,54400,79,83
04,M,29553,79,31
05,M,13739,78,77
06,M,6236,78,30
07,M,2744,77,32
08,M,1392,78,33
09,M,711,79,35
10,M,403,77,65
11,M,253,77,85
12,M,159,73,95
13,M,127,80,38
14,M,90,75,00
15,M,76,80,85
16,M,48,78,69
17,M,42,82,35
18,M,35,77,78
19,M,26,78,79
20,M,22,78,57
21,M,16,61,54
22,M,18,85,71
23,M,13,72,22
24,M,12,80,00
25,M,9,75,00
26,M,9,75,00
27,M,10,90,91
28,M,7,77,78
29,M,4,50,00
30,M,7,87,50
01,F,23847,21,42
02,F,19906,20,14
03,F,13746,20,17
04,F,7710,20,69
05,F,3703,21,23
06,F,1728,21,70
07,F,805,22,68
08,F,385,21,67
09,F,185,20,65
10,F,116,22,35
11,F,72,22,15
12,F,56,26,05
13,F,31,19,62
14,F,30,25,00
15,F,18,19,15
16,F,13,21,31
17,F,9,17,65
18,F,10,22,22
19,F,7,21,21
20,F,6,21,43
21,F,10,38,46
22,F,3,14,29
23,F,5,27,78
24,F,3,20,00
25,F,3,25,00
26,F,3,25,00
27,F,1,9,09
28,F,2,22,22
29,F,4,50,00
30,F,1,12,50
